Name,Title,Name
Eu Apenas Queria Que Voçê Soubesse,Meus Momentos,Latin
Com A Perna No Mundo,Meus Momentos,Latin
E Vamos À Luta,Meus Momentos,Latin
Um Homem Também Chora (Guerreiro Menino),Meus Momentos,Latin
Comportamento Geral,Meus Momentos,Latin
Ponto De Interrogação,Meus Momentos,Latin
Meia-Lua Inteira,Minha Historia,Latin
Voce e Linda,Minha Historia,Latin
Um Indio,Minha Historia,Latin
Podres Poderes,Minha Historia,Latin
Voce Nao Entende Nada - Cotidiano,Minha Historia,Latin
O Estrangeiro,Minha Historia,Latin
Menino Do Rio,Minha Historia,Latin
Qualquer Coisa,Minha Historia,Latin
Sampa,Minha Historia,Latin
Queixa,Minha Historia,Latin
O Leaozinho,Minha Historia,Latin
Fora Da Ordem,Minha Historia,Latin
Terra,Minha Historia,Latin
Balada Do Louco,Minha História,Alternative & Punk
Ando Meio Desligado,Minha História,Alternative & Punk
Top Top,Minha História,Alternative & Punk
Baby,Minha História,Alternative & Punk
A E O Z,Minha História,Alternative & Punk
Panis Et Circenses,Minha História,Alternative & Punk
Chão De Estrelas,Minha História,Alternative & Punk
Vida De Cachorro,Minha História,Alternative & Punk
Bat Macumba,Minha História,Alternative & Punk
Desculpe Babe,Minha História,Alternative & Punk
Rita Lee,Minha História,Alternative & Punk
Banho De Lua,Minha História,Alternative & Punk
Meu Refrigerador Não Funciona,Minha História,Alternative & Punk
Burn,MK III The Final Concerts [Disc 1],Rock
Stormbringer,MK III The Final Concerts [Disc 1],Rock
Gypsy,MK III The Final Concerts [Disc 1],Rock
Lady Double Dealer,MK III The Final Concerts [Disc 1],Rock
Mistreated,MK III The Final Concerts [Disc 1],Rock
Smoke On The Water,MK III The Final Concerts [Disc 1],Rock
You Fool No One,MK III The Final Concerts [Disc 1],Rock
Custard Pie,Physical Graffiti [Disc 1],Rock
The Rover,Physical Graffiti [Disc 1],Rock
In My Time Of Dying,Physical Graffiti [Disc 1],Rock
Houses Of The Holy,Physical Graffiti [Disc 1],Rock
Trampled Under Foot,Physical Graffiti [Disc 1],Rock
Kashmir,Physical Graffiti [Disc 1],Rock
Imperatriz,Sambas De Enredo 2001,Latin
Beija-Flor,Sambas De Enredo 2001,Latin
Viradouro,Sambas De Enredo 2001,Latin
Mocidade,Sambas De Enredo 2001,Latin
Unidos Da Tijuca,Sambas De Enredo 2001,Latin
Salgueiro,Sambas De Enredo 2001,Latin
Mangueira,Sambas De Enredo 2001,Latin
União Da Ilha,Sambas De Enredo 2001,Latin
Grande Rio,Sambas De Enredo 2001,Latin
Portela,Sambas De Enredo 2001,Latin
Caprichosos,Sambas De Enredo 2001,Latin
Tradição,Sambas De Enredo 2001,Latin
Império Serrano,Sambas De Enredo 2001,Latin
Tuiuti,Sambas De Enredo 2001,Latin
(Da Le) Yaleo,Supernatural,Rock
Love Of My Life,Supernatural,Rock
Put Your Lights On,Supernatural,Rock
Africa Bamba,Supernatural,Rock
Smooth,Supernatural,Rock
Do You Like The Way,Supernatural,Rock
Maria Maria,Supernatural,Rock
Migra,Supernatural,Rock
Corazon Espinado,Supernatural,Rock
Wishing It Was,Supernatural,Rock
El Farol,Supernatural,Rock
Primavera,Supernatural,Rock
The Calling,Supernatural,Rock
Solução,The Best of Ed Motta,Latin
